year,month,date,series,value
1961,2,1961-02-01,Gold And Silver Closing Quotations,305.54
1961,3,1961-03-01,Oil And Gas Closing Quotations,422.11
1961,3,1961-03-01,Metals And Minerals Closing Quotations,825.11
1961,3,1961-03-01,Utilities Closing Quotations,1002.52
1961,3,1961-03-01,Paper And Forest Products Closing Quotations,871.48
1961,3,1961-03-01,Merchandising Closing Quotations,458.02
1961,3,1961-03-01,Financial Services Closing Quotations,495.75
1961,3,1961-03-01,Gold And Silver Closing Quotations,289.63
1961,4,1961-04-01,Oil And Gas Closing Quotations,433.54
1961,4,1961-04-01,Metals And Minerals Closing Quotations,892.24
1961,4,1961-04-01,Utilities Closing Quotations,1063.93
1961,4,1961-04-01,Paper And Forest Products Closing Quotations,861.65
1961,4,1961-04-01,Merchandising Closing Quotations,478.67
1961,4,1961-04-01,Financial Services Closing Quotations,504.57
1961,4,1961-04-01,Gold And Silver Closing Quotations,304.39
1961,5,1961-05-01,Oil And Gas Closing Quotations,431.79
1961,5,1961-05-01,Metals And Minerals Closing Quotations,914.37
1961,5,1961-05-01,Utilities Closing Quotations,1107.36
1961,5,1961-05-01,Paper And Forest Products Closing Quotations,855.54
1961,5,1961-05-01,Merchandising Closing Quotations,476.94
1961,5,1961-05-01,Financial Services Closing Quotations,510.51
1961,5,1961-05-01,Gold And Silver Closing Quotations,300.5
1961,6,1961-06-01,Oil And Gas Closing Quotations,407.14
1961,6,1961-06-01,Metals And Minerals Closing Quotations,928.79
1961,6,1961-06-01,Utilities Closing Quotations,1097.22
